name,name_es,atomic_number,symbol,mass,family
hydrogen,hidrógeno,1,H,1.007825032,Non-Metal
helium,helio,2,He,4.002603254,Noblegas
lithium,litio,3,Li,7.01600455,Alkali_Earth
beryllium,berilio,4,Be,9.0121822,Alkaline_Earth
boron,boro,5,B,11.0093054,Metalloids
carbon,carbono,6,C,12,Non-Metal
nitrogen,nitrógeno,7,N,14.003074,Non-Metal
oxygen,oxígeno,8,O,15.99491462,Non-Metal
fluorine,flúor,9,F,18.99840322,Halogen
neon,neón,10,Ne,19.99244018,Noblegas
sodium,sodio,11,Na,22.98976928,Alkali_Earth
magnesium,magnesio,12,Mg,23.9850417,Alkaline_Earth
aluminum,aluminio,13,Al,26.98153863,Other_Metal
silicon,silicio,14,Si,27.97692653,Metalloids
phosphorus,fósforo,15,P,30.97376163,Non-Metal
sulfur,azufre,16,S,31.972071,Non-Metal
chlorine,cloro,17,Cl,34.96885268,Halogen
argon,argón,18,Ar,39.96238312,Noblegas
potassium,potasio,19,K,38.96370668,Alkali_Earth
calcium,calcio,20,Ca,39.96259098,Alkaline_Earth
scandium,escandio,21,Sc,44.9559119,Transition
titanium,titanio,22,Ti,47.9479463,Transition
vanadium,vanadio,23,V,50.9439595,Transition
chromium,cromo,24,Cr,51.9405075,Transition
manganese,manganeso,25,Mn,54.9380451,Transition
iron,hierro,26,Fe,55.9349375,Transition
cobalt,cobalto,27,Co,58.933195,Transition
nickel,níquel,28,Ni,57.9353429,Transition
copper,cobre,29,Cu,62.9295975,Transition
zinc,cinc,30,Zn,63.9291422,Transition
gallium,galio,31,Ga,68.9255736,Other_Metal
germanium,germanio,32,Ge,73.9211778,Metalloids
arsenic,arsénico,33,As,74.9215965,Metalloids
selenium,selenio,34,Se,79.9165213,Non-Metal
bromine,bromo,35,Br,78.9183371,Halogen
krypton,kriptón,36,Kr,83.911507,Noblegas
rubidium,rubidio,37,Rb,84.91178974,Alkali_Earth
strontium,estroncio,38,Sr,87.9056121,Alkaline_Earth
yttrium,itrio,39,Y,88.9058483,Transition
zirconium,circonio,40,Zr,89.9047044,Transition
niobium,niobio,41,Nb,92.9063781,Transition
molybdenum,molibdeno,42,Mo,97.9054082,Transition
technetium,tecnecio,43,Tc,97.907216,Transition
ruthenium,rutenio,44,Ru,101.9043493,Transition
rhodium,rodio,45,Rh,102.905504,Transition
palladium,paladio,46,Pd,105.903486,Transition
silver,plata,47,Ag,106.905097,Transition
cadmium,cadmio,48,Cd,113.9033585,Transition
indium,indio,49,In,114.903878,Other_Metal
tin,estaño,50,Sn,119.9021947,Other_Metal
antimony,antimonio,51,Sb,120.9038157,Metalloids
