name,name_es,atomic_number,symbol,mass,family
tellurium,telurio,52,Te,129.9062244,Metalloids
iodine,yodo,53,I,126.904473,Halogen
xenon,xenón,54,Xe,131.9041535,Noblegas
cesium,cesio,55,Cs,132.9054519,Alkali_Earth
barium,bario,56,Ba,137.9052472,Alkaline_Earth
lanthanum,lantano,57,La,138.9063533,Rare_Earth
cerium,cerio,58,Ce,139.9054387,Rare_Earth
praseodymium,praseodimio,59,Pr,140.9076528,Rare_Earth
neodymium,neodimio,60,Nd,141.9077233,Rare_Earth
promethium,prometio,61,Pm,144.912749,Rare_Earth
samarium,samario,62,Sm,151.9197324,Rare_Earth
europium,europio,63,Eu,152.9212303,Rare_Earth
gadolinium,gadolinio,64,Gd,157.9241039,Rare_Earth
terbium,terbio,65,Tb,158.9253468,Rare_Earth
dysprosium,disprosio,66,Dy,163.9291748,Rare_Earth
holmium,holmio,67,Ho,164.9303221,Rare_Earth
erbium,erbio,68,Er,165.9302931,Rare_Earth
thulium,tulio,69,Tm,168.9342133,Rare_Earth
ytterbium,iterbio,70,Yb,173.9388621,Rare_Earth
lutetium,lutecio,71,Lu,174.9407718,Rare_Earth
hafnium,hafnio,72,Hf,179.94655,Transition
tantalum,tantalio,73,Ta,180.9479958,Transition
wolfram,wolframio,74,W,183.9509312,Transition
rhenium,renio,75,Re,186.9557531,Transition
osmium,osmio,76,Os,191.9614807,Transition
iridium,iridio,77,Ir,192.9629264,Transition
platinum,platino,78,Pt,194.9647911,Transition
gold,oro,79,Au,196.9665687,Transition
mercury,mercurio,80,Hg,201.970643,Transition
thallium,talio,81,Tl,204.9744275,Other_Metal
lead,plomo,82,Pb,207.9766521,Other_Metal
bismuth,bismuto,83,Bi,208.9803987,Other_Metal
polonium,polonio,84,Po,208.9824304,Metalloids
astatine,ástato,85,At,209.987148,Halogen
radon,radón,86,Rn,222.0175777,Noblegas
francium,francio,87,Fr,223.0197359,Alkali_Earth
radium,radio,88,Ra,226.0254098,Alkaline_Earth
actinium,actinio,89,Ac,227.0277521,Other_Metal
thorium,torio,90,Th,232.0380553,Other_Metal
protactinium,protactinio,91,Pa,231.035884,Other_Metal
uranium,uranio,92,U,238.0507882,Other_Metal
neptunium,neptunio,93,Np,237.0481734,Other_Metal
plutonium,plutonio,94,Pu,244.064204,Other_Metal
americium,americio,95,Am,243.0613811,Other_Metal
curium,curio,96,Cm,247.070354,Other_Metal
berkelium,berkelio,97,Bk,247.070307,Other_Metal
californium,californio,98,Cf,251.079587,Other_Metal
einsteinium,einstenio,99,Es,252.08298,Other_Metal
fermium,fermio,100,Fm,257.095105,Other_Metal
mendelevium,mendelevio,101,Md,258.098431,Other_Metal
nobelium,nobelio,102,No,259.10103,Other_Metal
lawrencium,lawrencio,103,Lr,262.10963,Other_Metal
rutherfordium,rutherfordio,104,Rf,261.10877,Transition
dubnium,dubnio,105,Db,262.11408,Transition
seaborgium,seaborgio,106,Sg,263.11832,Transition
bohrium,bohrio,107,Bh,264.1246,Transition
hassium,hassio,108,Hs,265.13009,Transition
meitnerium,meitnerio,109,Mt,268.13873,Transition
darmstadtium ,darmstatio,110,Ds,271.14606,Transition
roentgenium ,roentgenio,111,Rg,272.15362,Transition
copernicium ,copernicio,112,Cn,285.17411,Transition
nihonium,nihonio,113,Nh,284.17808,Other_Metal
flerovium,flerovio,114,Fl,289.18728,Other_Metal
moscovium,moscovio,115,Mc,288.19249,Other_Metal
livermorium,livermorio,116,Lv,292.19979,Other_Metal
tennessine,teneso,117,Ts,-1,Halogen
oganesson,oganesón,118,Og,-1,Noblegas
