Name,Date,LowerWindow,UpperWindow
New Year's Day,1/1/1970,1,5
Groundhog Day,2/2/1970,2,2
Valentine's Day,2/14/1970,5,5
Presidents' Day,2/22/1970,2,2
St. Patrick's Day,3/17/1970,2,2
Memorial Day,5/30/1970,2,2
Independence Day,7/4/1970,5,5
Labor Day,9/7/1970,2,2
Columbus Day,10/12/1970,2,2
Halloween,10/31/1970,5,5
Veteran's Day,11/11/1970,2,2
Thanksgiving Day,11/26/1970,10,10
Christmas Day,12/25/1970,10,5
New Year's Day,1/1/1971,1,5
Groundhog Day,2/2/1971,2,2
Valentine's Day,2/14/1971,5,5
Presidents' Day,2/15/1971,2,2
St. Patrick's Day,3/17/1971,2,2
Memorial Day,5/31/1971,2,2
Independence Day,7/4/1971,5,5
Labor Day,9/6/1971,2,2
Columbus Day,10/11/1971,2,2
Veteran's Day,10/25/1971,2,2
Halloween,10/31/1971,5,5
Veteran's Day,11/11/1971,2,2
Thanksgiving Day,11/25/1971,10,10
Christmas Day,12/25/1971,10,5
New Year's Day,1/1/1972,1,5
Groundhog Day,2/2/1972,2,2
Valentine's Day,2/14/1972,5,5
Presidents' Day,2/21/1972,2,2
St. Patrick's Day,3/17/1972,2,2
Memorial Day,5/29/1972,2,2
Independence Day,7/4/1972,5,5
Labor Day,9/4/1972,2,2
Columbus Day,10/9/1972,2,2
Veteran's Day,10/23/1972,2,2
Halloween,10/31/1972,5,5
Veteran's Day,11/11/1972,2,2
Thanksgiving Day,11/23/1972,10,10
Christmas Day,12/25/1972,10,5
New Year's Day,1/1/1973,1,5
Groundhog Day,2/2/1973,2,2
Valentine's Day,2/14/1973,5,5
Presidents' Day,2/19/1973,2,2
St. Patrick's Day,3/17/1973,2,2
Memorial Day,5/28/1973,2,2
Independence Day,7/4/1973,5,5
Labor Day,9/3/1973,2,2
Columbus Day,10/8/1973,2,2
Veteran's Day,10/22/1973,2,2
Halloween,10/31/1973,5,5
Veteran's Day,11/11/1973,2,2
Thanksgiving Day,11/22/1973,10,10
