Name,Date,LowerWindow,UpperWindow
Christmas Day,12/25/1973,10,5
New Year's Day,1/1/1974,1,5
Groundhog Day,2/2/1974,2,2
Valentine's Day,2/14/1974,5,5
Presidents' Day,2/18/1974,2,2
St. Patrick's Day,3/17/1974,2,2
Memorial Day,5/27/1974,2,2
Independence Day,7/4/1974,5,5
Labor Day,9/2/1974,2,2
Columbus Day,10/14/1974,2,2
Veteran's Day,10/28/1974,2,2
Halloween,10/31/1974,5,5
Veteran's Day,11/11/1974,2,2
Thanksgiving Day,11/28/1974,10,10
Christmas Day,12/25/1974,10,5
New Year's Day,1/1/1975,1,5
Groundhog Day,2/2/1975,2,2
Valentine's Day,2/14/1975,5,5
Presidents' Day,2/17/1975,2,2
St. Patrick's Day,3/17/1975,2,2
Memorial Day,5/26/1975,2,2
Independence Day,7/4/1975,5,5
Labor Day,9/1/1975,2,2
Columbus Day,10/13/1975,2,2
Veteran's Day,10/27/1975,2,2
Halloween,10/31/1975,5,5
Veteran's Day,11/11/1975,2,2
Thanksgiving Day,11/27/1975,10,10
Christmas Day,12/25/1975,10,5
New Year's Day,1/1/1976,1,5
Groundhog Day,2/2/1976,2,2
Valentine's Day,2/14/1976,5,5
Presidents' Day,2/16/1976,2,2
St. Patrick's Day,3/17/1976,2,2
Memorial Day,5/31/1976,2,2
Independence Day,7/4/1976,5,5
Labor Day,9/6/1976,2,2
Columbus Day,10/11/1976,2,2
Veteran's Day,10/25/1976,2,2
Halloween,10/31/1976,5,5
Veteran's Day,11/11/1976,2,2
Thanksgiving Day,11/25/1976,10,10
Christmas Day,12/25/1976,10,5
New Year's Day,1/1/1977,1,5
Groundhog Day,2/2/1977,2,2
Valentine's Day,2/14/1977,5,5
Presidents' Day,2/21/1977,2,2
St. Patrick's Day,3/17/1977,2,2
Memorial Day,5/30/1977,2,2
Independence Day,7/4/1977,5,5
Labor Day,9/5/1977,2,2
Columbus Day,10/10/1977,2,2
Veteran's Day,10/24/1977,2,2
Halloween,10/31/1977,5,5
Veteran's Day,11/11/1977,2,2
Thanksgiving Day,11/24/1977,10,10
Christmas Day,12/25/1977,10,5
New Year's Day,1/1/1978,1,5
Groundhog Day,2/2/1978,2,2
Valentine's Day,2/14/1978,5,5
Presidents' Day,2/20/1978,2,2
St. Patrick's Day,3/17/1978,2,2
Memorial Day,5/29/1978,2,2
Independence Day,7/4/1978,5,5
Labor Day,9/4/1978,2,2
Columbus Day,10/9/1978,2,2
Halloween,10/31/1978,5,5
Veteran's Day,11/11/1978,2,2
Thanksgiving Day,11/23/1978,10,10
Christmas Day,12/25/1978,10,5
New Year's Day,1/1/1979,1,5
Groundhog Day,2/2/1979,2,2
Valentine's Day,2/14/1979,5,5
Presidents' Day,2/19/1979,2,2
St. Patrick's Day,3/17/1979,2,2
Memorial Day,5/28/1979,2,2
Independence Day,7/4/1979,5,5
Labor Day,9/3/1979,2,2
Columbus Day,10/8/1979,2,2
Halloween,10/31/1979,5,5
Veteran's Day,11/11/1979,2,2
Thanksgiving Day,11/22/1979,10,10
Christmas Day,12/25/1979,10,5
New Year's Day,1/1/1980,1,5
Groundhog Day,2/2/1980,2,2
Valentine's Day,2/14/1980,5,5
Presidents' Day,2/18/1980,2,2
St. Patrick's Day,3/17/1980,2,2
Memorial Day,5/26/1980,2,2
Independence Day,7/4/1980,5,5
Labor Day,9/1/1980,2,2
Columbus Day,10/13/1980,2,2
Halloween,10/31/1980,5,5
Veteran's Day,11/11/1980,2,2
Thanksgiving Day,11/27/1980,10,10
Christmas Day,12/25/1980,10,5
New Year's Day,1/1/1981,1,5
Groundhog Day,2/2/1981,2,2
Valentine's Day,2/14/1981,5,5
Presidents' Day,2/16/1981,2,2
St. Patrick's Day,3/17/1981,2,2
Memorial Day,5/25/1981,2,2
Independence Day,7/4/1981,5,5
Labor Day,9/7/1981,2,2
Columbus Day,10/12/1981,2,2
Halloween,10/31/1981,5,5
Veteran's Day,11/11/1981,2,2
Thanksgiving Day,11/26/1981,10,10
Christmas Day,12/25/1981,10,5
New Year's Day,1/1/1982,1,5
Groundhog Day,2/2/1982,2,2
Valentine's Day,2/14/1982,5,5
Presidents' Day,2/15/1982,2,2
St. Patrick's Day,3/17/1982,2,2
Memorial Day,5/31/1982,2,2
Independence Day,7/4/1982,5,5
Labor Day,9/6/1982,2,2
Columbus Day,10/11/1982,2,2
Halloween,10/31/1982,5,5
Veteran's Day,11/11/1982,2,2
Thanksgiving Day,11/25/1982,10,10
Christmas Day,12/25/1982,10,5
New Year's Day,1/1/1983,1,5
Groundhog Day,2/2/1983,2,2
Valentine's Day,2/14/1983,5,5
Presidents' Day,2/21/1983,2,2
St. Patrick's Day,3/17/1983,2,2
Memorial Day,5/30/1983,2,2
Independence Day,7/4/1983,5,5
Labor Day,9/5/1983,2,2
Columbus Day,10/10/1983,2,2
Halloween,10/31/1983,5,5
Veteran's Day,11/11/1983,2,2
Thanksgiving Day,11/24/1983,10,10
Christmas Day,12/25/1983,10,5
New Year's Day,1/1/1984,1,5
Groundhog Day,2/2/1984,2,2
Valentine's Day,2/14/1984,5,5
Presidents' Day,2/20/1984,2,2
St. Patrick's Day,3/17/1984,2,2
Memorial Day,5/28/1984,2,2
Independence Day,7/4/1984,5,5
Labor Day,9/3/1984,2,2
Columbus Day,10/8/1984,2,2
Halloween,10/31/1984,5,5
Veteran's Day,11/11/1984,2,2
Thanksgiving Day,11/22/1984,10,10
Christmas Day,12/25/1984,10,5
New Year's Day,1/1/1985,1,5
Groundhog Day,2/2/1985,2,2
Valentine's Day,2/14/1985,5,5
Presidents' Day,2/18/1985,2,2
St. Patrick's Day,3/17/1985,2,2
Memorial Day,5/27/1985,2,2
Independence Day,7/4/1985,5,5
Labor Day,9/2/1985,2,2
Columbus Day,10/14/1985,2,2
Halloween,10/31/1985,5,5
Veteran's Day,11/11/1985,2,2
Thanksgiving Day,11/28/1985,10,10
Christmas Day,12/25/1985,10,5
New Year's Day,1/1/1986,1,5
Martin Luther King Day,1/20/1986,2,2
Groundhog Day,2/2/1986,2,2
Valentine's Day,2/14/1986,5,5
Presidents' Day,2/17/1986,2,2
St. Patrick's Day,3/17/1986,2,2
Memorial Day,5/26/1986,2,2
Independence Day,7/4/1986,5,5
Labor Day,9/1/1986,2,2
Columbus Day,10/13/1986,2,2
Halloween,10/31/1986,5,5
Veteran's Day,11/11/1986,2,2
Thanksgiving Day,11/27/1986,10,10
Christmas Day,12/25/1986,10,5
New Year's Day,1/1/1987,1,5
Martin Luther King Day,1/19/1987,2,2
Groundhog Day,2/2/1987,2,2
Valentine's Day,2/14/1987,5,5
Presidents' Day,2/16/1987,2,2
St. Patrick's Day,3/17/1987,2,2
Memorial Day,5/25/1987,2,2
Independence Day,7/4/1987,5,5
Labor Day,9/7/1987,2,2
Columbus Day,10/12/1987,2,2
Halloween,10/31/1987,5,5
Veteran's Day,11/11/1987,2,2
Thanksgiving Day,11/26/1987,10,10
Christmas Day,12/25/1987,10,5
New Year's Day,1/1/1988,1,5
Martin Luther King Day,1/18/1988,2,2
Groundhog Day,2/2/1988,2,2
Valentine's Day,2/14/1988,5,5
Presidents' Day,2/15/1988,2,2
St. Patrick's Day,3/17/1988,2,2
Memorial Day,5/30/1988,2,2
Independence Day,7/4/1988,5,5
Labor Day,9/5/1988,2,2
Columbus Day,10/10/1988,2,2
Halloween,10/31/1988,5,5
Veteran's Day,11/11/1988,2,2
Thanksgiving Day,11/24/1988,10,10
Christmas Day,12/25/1988,10,5
New Year's Day,1/1/1989,1,5
Martin Luther King Day,1/16/1989,2,2
Groundhog Day,2/2/1989,2,2
Valentine's Day,2/14/1989,5,5
Presidents' Day,2/20/1989,2,2
St. Patrick's Day,3/17/1989,2,2
Memorial Day,5/29/1989,2,2
Independence Day,7/4/1989,5,5
Labor Day,9/4/1989,2,2
Columbus Day,10/9/1989,2,2
Halloween,10/31/1989,5,5
Veteran's Day,11/11/1989,2,2
Thanksgiving Day,11/23/1989,10,10
Christmas Day,12/25/1989,10,5
New Year's Day,1/1/1990,1,5
Martin Luther King Day,1/15/1990,2,2
Groundhog Day,2/2/1990,2,2
Valentine's Day,2/14/1990,5,5
Presidents' Day,2/19/1990,2,2
St. Patrick's Day,3/17/1990,2,2
Memorial Day,5/28/1990,2,2
Independence Day,7/4/1990,5,5
Labor Day,9/3/1990,2,2
Columbus Day,10/8/1990,2,2
Halloween,10/31/1990,5,5
Veteran's Day,11/11/1990,2,2
Thanksgiving Day,11/22/1990,10,10
Christmas Day,12/25/1990,10,5
New Year's Day,1/1/1991,1,5
Martin Luther King Day,1/21/1991,2,2
Groundhog Day,2/2/1991,2,2
Valentine's Day,2/14/1991,5,5
Presidents' Day,2/18/1991,2,2
St. Patrick's Day,3/17/1991,2,2
Memorial Day,5/27/1991,2,2
Independence Day,7/4/1991,5,5
Labor Day,9/2/1991,2,2
Columbus Day,10/14/1991,2,2
Halloween,10/31/1991,5,5
Veteran's Day,11/11/1991,2,2
Thanksgiving Day,11/28/1991,10,10
Christmas Day,12/25/1991,10,5
New Year's Day,1/1/1992,1,5
Martin Luther King Day,1/20/1992,2,2
Groundhog Day,2/2/1992,2,2
Valentine's Day,2/14/1992,5,5
Presidents' Day,2/17/1992,2,2
St. Patrick's Day,3/17/1992,2,2
Memorial Day,5/25/1992,2,2
Independence Day,7/4/1992,5,5
Labor Day,9/7/1992,2,2
Columbus Day,10/12/1992,2,2
Halloween,10/31/1992,5,5
Veteran's Day,11/11/1992,2,2
Thanksgiving Day,11/26/1992,10,10
Christmas Day,12/25/1992,10,5
New Year's Day,1/1/1993,1,5
Martin Luther King Day,1/18/1993,2,2
Groundhog Day,2/2/1993,2,2
Valentine's Day,2/14/1993,5,5
Presidents' Day,2/15/1993,2,2
St. Patrick's Day,3/17/1993,2,2
Memorial Day,5/31/1993,2,2
Independence Day,7/4/1993,5,5
Labor Day,9/6/1993,2,2
Columbus Day,10/11/1993,2,2
Halloween,10/31/1993,5,5
Veteran's Day,11/11/1993,2,2
Thanksgiving Day,11/25/1993,10,10
Christmas Day,12/25/1993,10,5
New Year's Day,1/1/1994,1,5
Martin Luther King Day,1/17/1994,2,2
Groundhog Day,2/2/1994,2,2
Valentine's Day,2/14/1994,5,5
Presidents' Day,2/21/1994,2,2
St. Patrick's Day,3/17/1994,2,2
Memorial Day,5/30/1994,2,2
Independence Day,7/4/1994,5,5
Labor Day,9/5/1994,2,2
Columbus Day,10/10/1994,2,2
Halloween,10/31/1994,5,5
Veteran's Day,11/11/1994,2,2
Thanksgiving Day,11/24/1994,10,10
Christmas Day,12/25/1994,10,5
New Year's Day,1/1/1995,1,5
Martin Luther King Day,1/16/1995,2,2
Groundhog Day,2/2/1995,2,2
Valentine's Day,2/14/1995,5,5
Presidents' Day,2/20/1995,2,2
St. Patrick's Day,3/17/1995,2,2
Memorial Day,5/29/1995,2,2
Independence Day,7/4/1995,5,5
Labor Day,9/4/1995,2,2
Columbus Day,10/9/1995,2,2
Halloween,10/31/1995,5,5
Veteran's Day,11/11/1995,2,2
Thanksgiving Day,11/23/1995,10,10
Christmas Day,12/25/1995,10,5
New Year's Day,1/1/1996,1,5
Martin Luther King Day,1/15/1996,2,2
Groundhog Day,2/2/1996,2,2
Valentine's Day,2/14/1996,5,5
Presidents' Day,2/19/1996,2,2
St. Patrick's Day,3/17/1996,2,2
Memorial Day,5/27/1996,2,2
Independence Day,7/4/1996,5,5
Labor Day,9/2/1996,2,2
Columbus Day,10/14/1996,2,2
Halloween,10/31/1996,5,5
Veteran's Day,11/11/1996,2,2
Thanksgiving Day,11/28/1996,10,10
Christmas Day,12/25/1996,10,5
New Year's Day,1/1/1997,1,5
Martin Luther King Day,1/20/1997,2,2
Groundhog Day,2/2/1997,2,2
Valentine's Day,2/14/1997,5,5
Presidents' Day,2/17/1997,2,2
St. Patrick's Day,3/17/1997,2,2
Memorial Day,5/26/1997,2,2
Independence Day,7/4/1997,5,5
Labor Day,9/1/1997,2,2
Columbus Day,10/13/1997,2,2
Halloween,10/31/1997,5,5
Veteran's Day,11/11/1997,2,2
Thanksgiving Day,11/27/1997,10,10
Christmas Day,12/25/1997,10,5
New Year's Day,1/1/1998,1,5
Martin Luther King Day,1/19/1998,2,2
Groundhog Day,2/2/1998,2,2
Valentine's Day,2/14/1998,5,5
Presidents' Day,2/16/1998,2,2
St. Patrick's Day,3/17/1998,2,2
Memorial Day,5/25/1998,2,2
Independence Day,7/4/1998,5,5
Labor Day,9/7/1998,2,2
Columbus Day,10/12/1998,2,2
Halloween,10/31/1998,5,5
Veteran's Day,11/11/1998,2,2
Thanksgiving Day,11/26/1998,10,10
Christmas Day,12/25/1998,10,5
New Year's Day,1/1/1999,1,5
Martin Luther King Day,1/18/1999,2,2
Groundhog Day,2/2/1999,2,2
Valentine's Day,2/14/1999,5,5
Presidents' Day,2/15/1999,2,2
St. Patrick's Day,3/17/1999,2,2
Memorial Day,5/31/1999,2,2
Independence Day,7/4/1999,5,5
Labor Day,9/6/1999,2,2
Columbus Day,10/11/1999,2,2
Halloween,10/31/1999,5,5
Veteran's Day,11/11/1999,2,2
Thanksgiving Day,11/25/1999,10,10
Christmas Day,12/25/1999,10,5
New Year's Day,1/1/2000,1,5
Martin Luther King Day,1/17/2000,2,2
Groundhog Day,2/2/2000,2,2
Valentine's Day,2/14/2000,5,5
Presidents' Day,2/21/2000,2,2
St. Patrick's Day,3/17/2000,2,2
Memorial Day,5/29/2000,2,2
Independence Day,7/4/2000,5,5
Labor Day,9/4/2000,2,2
Columbus Day,10/9/2000,2,2
Halloween,10/31/2000,5,5
Veteran's Day,11/11/2000,2,2
Thanksgiving Day,11/23/2000,10,10
Christmas Day,12/25/2000,10,5
New Year's Day,1/1/2001,1,5
Martin Luther King Day,1/15/2001,2,2
Groundhog Day,2/2/2001,2,2
Valentine's Day,2/14/2001,5,5
Presidents' Day,2/19/2001,2,2
St. Patrick's Day,3/17/2001,2,2
Memorial Day,5/28/2001,2,2
Independence Day,7/4/2001,5,5
Labor Day,9/3/2001,2,2
Columbus Day,10/8/2001,2,2
Halloween,10/31/2001,5,5
Veteran's Day,11/11/2001,2,2
Thanksgiving Day,11/22/2001,10,10
Christmas Day,12/25/2001,10,5
New Year's Day,1/1/2002,1,5
Martin Luther King Day,1/21/2002,2,2
Groundhog Day,2/2/2002,2,2
Valentine's Day,2/14/2002,5,5
Presidents' Day,2/18/2002,2,2
St. Patrick's Day,3/17/2002,2,2
Memorial Day,5/27/2002,2,2
Independence Day,7/4/2002,5,5
Labor Day,9/2/2002,2,2
Columbus Day,10/14/2002,2,2
Halloween,10/31/2002,5,5
Veteran's Day,11/11/2002,2,2
Thanksgiving Day,11/28/2002,10,10
Christmas Day,12/25/2002,10,5
New Year's Day,1/1/2003,1,5
Martin Luther King Day,1/20/2003,2,2
Groundhog Day,2/2/2003,2,2
Valentine's Day,2/14/2003,5,5
Presidents' Day,2/17/2003,2,2
St. Patrick's Day,3/17/2003,2,2
Memorial Day,5/26/2003,2,2
Independence Day,7/4/2003,5,5
Labor Day,9/1/2003,2,2
Columbus Day,10/13/2003,2,2
Halloween,10/31/2003,5,5
Veteran's Day,11/11/2003,2,2
Thanksgiving Day,11/27/2003,10,10
Christmas Day,12/25/2003,10,5
New Year's Day,1/1/2004,1,5
Martin Luther King Day,1/19/2004,2,2
Groundhog Day,2/2/2004,2,2
Valentine's Day,2/14/2004,5,5
Presidents' Day,2/16/2004,2,2
St. Patrick's Day,3/17/2004,2,2
Memorial Day,5/31/2004,2,2
Independence Day,7/4/2004,5,5
Labor Day,9/6/2004,2,2
Columbus Day,10/11/2004,2,2
Halloween,10/31/2004,5,5
Veteran's Day,11/11/2004,2,2
Thanksgiving Day,11/25/2004,10,10
Christmas Day,12/25/2004,10,5
New Year's Day,1/1/2005,1,5
Martin Luther King Day,1/17/2005,2,2
Groundhog Day,2/2/2005,2,2
Valentine's Day,2/14/2005,5,5
Presidents' Day,2/21/2005,2,2
St. Patrick's Day,3/17/2005,2,2
Memorial Day,5/30/2005,2,2
Independence Day,7/4/2005,5,5
Labor Day,9/5/2005,2,2
Columbus Day,10/10/2005,2,2
Halloween,10/31/2005,5,5
Veteran's Day,11/11/2005,2,2
Thanksgiving Day,11/24/2005,10,10
Christmas Day,12/25/2005,10,5
New Year's Day,1/1/2006,1,5
Martin Luther King Day,1/16/2006,2,2
Groundhog Day,2/2/2006,2,2
Valentine's Day,2/14/2006,5,5
Presidents' Day,2/20/2006,2,2
St. Patrick's Day,3/17/2006,2,2
Memorial Day,5/29/2006,2,2
Independence Day,7/4/2006,5,5
Labor Day,9/4/2006,2,2
Columbus Day,10/9/2006,2,2
Halloween,10/31/2006,5,5
Veteran's Day,11/11/2006,2,2
Thanksgiving Day,11/23/2006,10,10
Christmas Day,12/25/2006,10,5
New Year's Day,1/1/2007,1,5
Martin Luther King Day,1/15/2007,2,2
Groundhog Day,2/2/2007,2,2
Valentine's Day,2/14/2007,5,5
Presidents' Day,2/19/2007,2,2
St. Patrick's Day,3/17/2007,2,2
Memorial Day,5/28/2007,2,2
Independence Day,7/4/2007,5,5
Labor Day,9/3/2007,2,2
Columbus Day,10/8/2007,2,2
Halloween,10/31/2007,5,5
Veteran's Day,11/11/2007,2,2
Thanksgiving Day,11/22/2007,10,10
Christmas Day,12/25/2007,10,5
New Year's Day,1/1/2008,1,5
Martin Luther King Day,1/21/2008,2,2
Groundhog Day,2/2/2008,2,2
Valentine's Day,2/14/2008,5,5
Presidents' Day,2/18/2008,2,2
St. Patrick's Day,3/17/2008,2,2
Memorial Day,5/26/2008,2,2
Independence Day,7/4/2008,5,5
Labor Day,9/1/2008,2,2
Columbus Day,10/13/2008,2,2
Halloween,10/31/2008,5,5
Veteran's Day,11/11/2008,2,2
Thanksgiving Day,11/27/2008,10,10
Christmas Day,12/25/2008,10,5
New Year's Day,1/1/2009,1,5
Martin Luther King Day,1/19/2009,2,2
Groundhog Day,2/2/2009,2,2
Valentine's Day,2/14/2009,5,5
Presidents' Day,2/16/2009,2,2
St. Patrick's Day,3/17/2009,2,2
Memorial Day,5/25/2009,2,2
Independence Day,7/4/2009,5,5
Labor Day,9/7/2009,2,2
Columbus Day,10/12/2009,2,2
Halloween,10/31/2009,5,5
Veteran's Day,11/11/2009,2,2
Thanksgiving Day,11/26/2009,10,10
Christmas Day,12/25/2009,10,5
New Year's Day,1/1/2010,1,5
Martin Luther King Day,1/18/2010,2,2
Groundhog Day,2/2/2010,2,2
Valentine's Day,2/14/2010,5,5
Presidents' Day,2/15/2010,2,2
St. Patrick's Day,3/17/2010,2,2
Memorial Day,5/31/2010,2,2
Independence Day,7/4/2010,5,5
Labor Day,9/6/2010,2,2
Columbus Day,10/11/2010,2,2
Halloween,10/31/2010,5,5
Veteran's Day,11/11/2010,2,2
Thanksgiving Day,11/25/2010,10,10
Christmas Day,12/25/2010,10,5
New Year's Day,1/1/2011,1,5
Martin Luther King Day,1/17/2011,2,2
Groundhog Day,2/2/2011,2,2
Valentine's Day,2/14/2011,5,5
Presidents' Day,2/21/2011,2,2
St. Patrick's Day,3/17/2011,2,2
Memorial Day,5/30/2011,2,2
Independence Day,7/4/2011,5,5
Labor Day,9/5/2011,2,2
Columbus Day,10/10/2011,2,2
Halloween,10/31/2011,5,5
Veteran's Day,11/11/2011,2,2
Thanksgiving Day,11/24/2011,10,10
Christmas Day,12/25/2011,10,5
New Year's Day,1/1/2012,1,5
Martin Luther King Day,1/16/2012,2,2
Groundhog Day,2/2/2012,2,2
Valentine's Day,2/14/2012,5,5
Presidents' Day,2/20/2012,2,2
St. Patrick's Day,3/17/2012,2,2
Easter Day,4/8/2012,2,2
Tax Day,4/17/2012,5,5
Administrative Professionals Day,4/25/2012,2,2
Mother's Day,5/13/2012,5,5
Memorial Day,5/28/2012,2,2
Father's Day,6/17/2012,2,2
Independence Day,7/4/2012,5,5
Labor Day,9/3/2012,2,2
Columbus Day,10/8/2012,2,2
Halloween,10/31/2012,5,5
Election Day,11/6/2012,2,2
Veteran's Day,11/11/2012,2,2
Thanksgiving Day,11/22/2012,10,10
Day After Thanksgiving Day,11/23/2012,10,10
Christmas Day,12/25/2012,10,5
New Year's Day,1/1/2013,1,5
Martin Luther King Day,1/21/2013,2,2
Groundhog Day,2/2/2013,2,2
Valentine's Day,2/14/2013,5,5
Presidents' Day,2/18/2013,2,2
St. Patrick's Day,3/17/2013,2,2
Easter Day,3/31/2013,2,2
Tax Day,4/15/2013,5,5
Administrative Professionals Day,4/24/2013,2,2
Mother's Day,5/12/2013,5,5
Memorial Day,5/27/2013,2,2
Father's Day,6/16/2013,2,2
Independence Day,7/4/2013,5,5
Labor Day,9/2/2013,2,2
Columbus Day,10/14/2013,2,2
Halloween,10/31/2013,5,5
Election Day,11/5/2013,2,2
Veteran's Day,11/11/2013,2,2
Thanksgiving Day,11/28/2013,10,10
Day After Thanksgiving Day,11/29/2013,10,10
Christmas Day,12/25/2013,10,5
New Year's Day,1/1/2014,1,5
Martin Luther King Day,1/20/2014,2,2
Groundhog Day,2/2/2014,2,2
Valentine's Day,2/14/2014,5,5
Presidents' Day,2/17/2014,2,2
St. Patrick's Day,3/17/2014,2,2
Tax Day,4/15/2014,5,5
Easter Day,4/20/2014,2,2
Administrative Professionals Day,4/23/2014,2,2
Mother's Day,5/11/2014,5,5
Memorial Day,5/26/2014,2,2
Father's Day,6/15/2014,2,2
Independence Day,7/4/2014,5,5
Labor Day,9/1/2014,2,2
Columbus Day,10/13/2014,2,2
Halloween,10/31/2014,5,5
Election Day,11/4/2014,2,2
Veteran's Day,11/11/2014,2,2
Thanksgiving Day,11/27/2014,10,10
Day After Thanksgiving Day,11/28/2014,10,10
Christmas Day,12/25/2014,10,5
New Year's Day,1/1/2015,1,5
Martin Luther King Day,1/19/2015,2,2
Groundhog Day,2/2/2015,2,2
Valentine's Day,2/14/2015,5,5
Presidents' Day,2/16/2015,2,2
St. Patrick's Day,3/17/2015,2,2
Easter Day,4/5/2015,2,2
Tax Day,4/15/2015,5,5
Administrative Professionals Day,4/22/2015,2,2
Mother's Day,5/10/2015,5,5
Memorial Day,5/25/2015,2,2
Father's Day,6/21/2015,2,2
Independence Day,7/4/2015,5,5
Labor Day,9/7/2015,2,2
Columbus Day,10/12/2015,2,2
Halloween,10/31/2015,5,5
Election Day,11/3/2015,2,2
Veteran's Day,11/11/2015,2,2
Thanksgiving Day,11/26/2015,10,10
Day After Thanksgiving Day,11/27/2015,10,10
Christmas Day,12/25/2015,10,5
New Year's Day,1/1/2016,1,5
Martin Luther King Day,1/18/2016,2,2
Groundhog Day,2/2/2016,2,2
Valentine's Day,2/14/2016,5,5
Presidents' Day,2/15/2016,2,2
St. Patrick's Day,3/17/2016,2,2
Easter Day,3/27/2016,2,2
Tax Day,4/18/2016,5,5
Administrative Professionals Day,4/27/2016,2,2
Mother's Day,5/8/2016,5,5
Memorial Day,5/30/2016,2,2
Father's Day,6/19/2016,2,2
Independence Day,7/4/2016,5,5
Labor Day,9/5/2016,2,2
Columbus Day,10/10/2016,2,2
Halloween,10/31/2016,5,5
Election Day,11/8/2016,2,2
Veteran's Day,11/11/2016,2,2
Thanksgiving Day,11/24/2016,10,10
Day After Thanksgiving Day,11/25/2016,10,10
Christmas Day,12/25/2016,10,5
New Year's Day,1/1/2017,1,5
Martin Luther King Day,1/16/2017,2,2
Groundhog Day,2/2/2017,2,2
Valentine's Day,2/14/2017,5,5
Presidents' Day,2/20/2017,2,2
St. Patrick's Day,3/17/2017,2,2
Easter Day,4/16/2017,2,2
Tax Day,4/18/2017,5,5
Administrative Professionals Day,4/26/2017,2,2
Mother's Day,5/14/2017,5,5
Memorial Day,5/29/2017,2,2
Father's Day,6/18/2017,2,2
Independence Day,7/4/2017,5,5
Labor Day,9/4/2017,2,2
Columbus Day,10/9/2017,2,2
Halloween,10/31/2017,5,5
Election Day,11/7/2017,2,2
Veteran's Day,11/11/2017,2,2
Thanksgiving Day,11/23/2017,10,10
Day After Thanksgiving Day,11/24/2017,10,10
Christmas Day,12/25/2017,10,5
New Year's Day,1/1/2018,1,5
Martin Luther King Day,1/15/2018,2,2
Groundhog Day,2/2/2018,2,2
Valentine's Day,2/14/2018,5,5
Presidents' Day,2/19/2018,2,2
St. Patrick's Day,3/17/2018,2,2
Easter Day,4/1/2018,2,2
Tax Day,4/17/2018,5,5
Administrative Professionals Day,4/25/2018,2,2
Mother's Day,5/13/2018,5,5
Memorial Day,5/28/2018,2,2
Father's Day,6/17/2018,2,2
Independence Day,7/4/2018,5,5
Labor Day,9/3/2018,2,2
Columbus Day,10/8/2018,2,2
Halloween,10/31/2018,5,5
Election Day,11/6/2018,2,2
Veteran's Day,11/11/2018,2,2
Thanksgiving Day,11/22/2018,10,10
Day After Thanksgiving Day,11/23/2018,10,10
Christmas Day,12/25/2018,10,5
New Year's Day,1/1/2019,1,5
Martin Luther King Day,1/21/2019,2,2
Groundhog Day,2/2/2019,2,2
Valentine's Day,2/14/2019,5,5
Presidents' Day,2/18/2019,2,2
St. Patrick's Day,3/17/2019,2,2
Tax Day,4/15/2019,5,5
Easter Day,4/21/2019,2,2
Administrative Professionals Day,4/24/2019,2,2
Mother's Day,5/12/2019,5,5
Memorial Day,5/27/2019,2,2
Father's Day,6/16/2019,2,2
Independence Day,7/4/2019,5,5
Labor Day,9/2/2019,2,2
Columbus Day,10/14/2019,2,2
Halloween,10/31/2019,5,5
Election Day,11/5/2019,2,2
Veteran's Day,11/11/2019,2,2
Thanksgiving Day,11/28/2019,10,10
Day After Thanksgiving Day,11/29/2019,10,10
Christmas Day,12/25/2019,10,5
New Year's Day,1/1/2020,1,5
Martin Luther King Day,1/20/2020,2,2
Groundhog Day,2/2/2020,2,2
