PlatformCode,ActiveName,ActiveCode,WebActiveCode
IFEU,AAM-Aberdeen Asset Management PLC - ex-event (Std Option/Amer/Dlv),AAM,IFLO|AAM
IFEU,AAT-Accor (Flex Option/Amer/Dlv),AAT,IFLO|AAT
IFEU,ABQ-ABB Ltd (Flex Option/Amer/Dlv),ABQ,IFLO|ABQ
IFEU,ABR-Associated British Foods plc (Std Option/Amer/Dlv),ABR,IFLO|ABR
IFEU,ACQ-Credit Agricole SA (Flex Option/Amer/Dlv),ACQ,IFLO|ACQ
IFEU,AER-BAE Systems plc (Std Option/Amer/Dlv),AER,IFLO|AER
IFEU,AFQ-Aegon NV (Flex Option/Amer/Dlv),AFQ,IFLO|AFQ
IFEU,AGK-Aggreko Plc (Std Option/Amer/Dlv),AGK,IFLO|AGK
IFEU,AH-Ashtead Group Plc (Std Option/Amer/Dlv),AH,IFLO|AH
IFEU,AHA-Anglo American plc (Std Option/Amer/Dlv),AHA,IFLO|AHA
IFEU,AHO-Anglo American plc (Flex Option/Amer/Dlv),AHO,IFLO|AHO
IFEU,AHQ-Koninklijke Ahold Delhaize NV (Flex Option/Amer/Dlv),AHQ,IFLO|AHQ
IFEU,AIP-ASM International NV (Flex Option/Euro/Dlv),AIP,IFLO|AIP
IFEU,AKQ-Akzo Nobel NV (Flex Option/Amer/Dlv),AKQ,IFLO|AKQ
IFEU,AME-Amec Foster Wheeler PLC (Std Option/Amer/Dlv),AME,IFLO|AME
IFEU,AMO-ArcelorMittal (Flex Option/Amer/Dlv),AMO,IFLO|AMO
IFEU,AQQ-Svenska Handelsbanken ser. A (Flex Option/Amer/Dlv),AQQ,IFLO|AQQ
IFEU,AT1-ICE Futures Rotterdam Coal Early (122 days) Single Expiry Options,AT1,IFEU|AT1
IFEU,ATA-ICE Futures API 2 Rotterdam Coal Average Price Options,ATA,IFEU|ATA
IFEU,ATC-Calendar One Time Option on Rotterdam Calendar One Time Future,ATC,IFEU|ATC
IFEU,ATQ-Atlas Copco AB A shares (Flex Option/Amer/Dlv),ATQ,IFLO|ATQ
IFEU,ATT-Antofagasta plc (Std Option/Amer/Dlv),ATT,IFLO|ATT
IFEU,AVU-Aviva plc (Flex Option/Amer/Cash),AVU,IFLO|AVU
IFEU,AWS-International Consolidated Airlines Group SA (Britsh Airways Ex-Event) (Std Option/Amer/Dlv),AWS,IFLO|AWS
IFEU,AZA-AstraZeneca plc (Std Option/Amer/Dlv),AZA,IFLO|AZA
IFEU,AZU-AstraZeneca plc (Flex Option/Amer/Cash),AZU,IFLO|AZU
IFEU,B-Option on Brent Crude Future,B,IFEU|B
IFEU,BAU-BAE Systems plc (Flex Option/Amer/Cash),BAU,IFLO|BAU
IFEU,BBL-Barclays plc (Std Option/Amer/Dlv),BBL,IFLO|BBL
IFEU,BDV-Barratt Developments Plc (Std Option/Amer/Dlv),BDV,IFLO|BDV
IFEU,BGG-BG Group plc ex-event (Std Option/Amer/Dlv),BGG,IFLO|BGG
IFEU,BIG-Babcock International Group Plc (Std Option/Amer/Dlv),BIG,IFLO|BIG
IFEU,BIQ-Intesa Sanpaolo SpA (Flex Option/Amer/Dlv),BIQ,IFLO|BIQ
IFEU,BIX-Intesa Sanpaolo SpA (Flex Option/Euro/Dlv),BIX,IFLO|BIX
IFEU,BJQ-BASF AG (Flex Option/Amer/Dlv),BJQ,IFLO|BJQ
IFEU,BKQ-Groupe Danone (Flex Option/Amer/Dlv),BKQ,IFLO|BKQ
IFEU,BLC-British Land Company PLC (Std Option/Amer/Dlv),BLC,IFLO|BLC
IFEU,BLT-BHP Billiton plc - ex event package (Std Option/Amer/Dlv),BLT,IFLO|BLT
IFEU,BNJ-BNP Paribas (Flex Option/Euro/Cash),BNJ,IFLO|BNJ
IFEU,BNQ-BNP Paribas (Flex Option/Amer/Dlv),BNQ,IFLO|BNQ
IFEU,BNZ-Bunzl Plc (Std Option/Amer/Dlv),BNZ,IFLO|BNZ
IFEU,BP-BP plc (Std Option/Amer/Dlv),BP,IFLO|BP
IFEU,BPX-BP plc (Flex Option/Euro/Dlv),BPX,IFLO|BPX
IFEU,BQQ-Bayer AG (Flex Option/Amer/Dlv),BQQ,IFLO|BQQ
IFEU,BRW-Burberry Group (Std Option/Amer/Dlv),BRW,IFLO|BRW
IFEU,BSK-Sky PLC (Std Option/Amer/Dlv),BSK,IFLO|BSK
IFEU,BT2-BHP Billiton plc (Flex Option/Amer/Dlv),BT2,IFLO|BT2
IFEU,BT4-BHP Billiton plc (Flex Option/Euro/Dlv),BT4,IFLO|BT4
IFEU,BTB-BHP Billiton plc (Std Option/Amer/Dlv),BTB,IFLO|BTB
IFEU,BTG-BT Group plc (Std Option/Amer/Dlv),BTG,IFLO|BTG
IFEU,BTU-BT Group plc (Flex Option/Amer/Cash),BTU,IFLO|BTU
IFEU,BZ5-Bunzl Plc (Flex Option/Amer/Cash),BZ5,IFLO|BZ5
IFEU,C-London Cocoa Option,C,IFLX|C
IFEU,C-Option on EUA Future,C,IFEU|C
IFEU,CBQ-Commerzbank AG (Flex Option/Amer/Dlv),CBQ,IFLO|CBQ
IFEU,CJQ-AXA SA (Flex Option/Amer/Dlv),CJQ,IFLO|CJQ
IFEU,CMB-Comcast Corp (Flex Option/Amer/Dlv),CMB,IFLO|CMB
IFEU,CMQ-Carrefour SA (Flex Option/Amer/Dlv),CMQ,IFLO|CMQ
IFEU,CMX-Carrefour SA (Flex Option/Euro/Dlv),CMX,IFLO|CMX
IFEU,CNG-Cairn Energy plc (Std Option/Amer/Dlv),CNG,IFLO|CNG
IFEU,CPG-Compass Group plc (Std Option/Amer/Dlv),CPG,IFLO|CPG
IFEU,CPI-Capita Plc (Std Option/Amer/Dlv),CPI,IFLO|CPI
IFEU,CPX-Compass Group plc (Flex Option/Euro/Dlv),CPX,IFLO|CPX
IFEU,CRM-CRH PLC (UK) (Std Option/Amer/Dlv),CRM,IFLO|CRM
IFEU,CRU-Centrica plc (Flex Option/Amer/Cash),CRU,IFLO|CRU
IFEU,CTR-Centrica plc (Std Option/Amer/Dlv),CTR,IFLO|CTR
IFEU,CUA-Aviva plc (Std Option/Amer/Dlv),CUA,IFLO|CUA
IFEU,CXQ-Snam SpA Ex Event Package (Flex Option/Amer/Dlv),CXQ,IFLO|CXQ
IFEU,DBQ-Deutsche Bank AG (Flex Option/Amer/Dlv),DBQ,IFLO|DBQ
IFEU,DBU-Deutsche Bank AG (Flex Option/Amer/Cash),DBU,IFLO|DBU
IFEU,DDQ-DNB NOR ASA (Flex Option/Amer/Dlv),DDQ,IFLO|DDQ
IFEU,DFQ-Vinci SA (Flex Option/Amer/Dlv),DFQ,IFLO|DFQ
