PlatformCode,ActiveName,ActiveCode,WebActiveCode
IFEU,0A0-Roche Holding AG (Flex Div Adj Future Cash),0A0,IFLO|0A0
IFEU,0A1-SCOR SE (Flex Div Adj Future Cash),0A1,IFLO|0A1
IFEU,0A2-Wendel (Flex Div Adj Future Cash),0A2,IFLO|0A2
IFEU,0A3-Orange SA (Flex Div Adj Future Cash),0A3,IFLO|0A3
IFEU,0A4-Societe Generale (Flex Div Adj Future Cash),0A4,IFLO|0A4
IFEU,0A5-Groupe Eurotunnel SE (Flex Div Adj Future Cash),0A5,IFLO|0A5
IFEU,0A6-LafargeHolcim Ltd (Flex Div Adj Future Cash),0A6,IFLO|0A6
IFEU,0A7-Kuehne & Nagel International AG (Flex Div Adj Future Cash),0A7,IFLO|0A7
IFEU,0A8-Lonza Group AG (Flex Div Adj Future Cash),0A8,IFLO|0A8
IFEU,0A9-Sonova Holding AG (Flex Div Adj Future Cash),0A9,IFLO|0A9
IFEU,0AA-Anglo American plc (Flex Div Adj Future Cash),0AA,IFLO|0AA
IFEU,0AB-Andritz AG (Flex Div Adj Future Cash),0AB,IFLO|0AB
IFEU,0AC-Aristocrat Leisure Ltd  (Flex Div Adj Future Cash),0AC,IFLO|0AC
IFEU,0AD-STMicroelectronics NV (Flex Div Adj Future Cash),0AD,IFLO|0AD
IFEU,0AE-Ageas NV/SA (Flex Div Adj Future Cash),0AE,IFLO|0AE
IFEU,0AH-Atlantia SpA (Flex Div Adj Future Cash),0AH,IFLO|0AH
IFEU,0AI-American International Group Inc (Flex Div Adj Future Cash),0AI,IFLO|0AI
IFEU,0AJ-PJSC Tatneft ADR (Flex Div Adj Future Cash),0AJ,IFLO|0AJ
IFEU,0AK-Akbank TAS (Flex Div Adj Future Cash),0AK,IFLO|0AK
IFEU,0AL-Alfa Laval AB (Flex Div Adj Future Cash),0AL,IFLO|0AL
IFEU,0AM-Anglo American Platinum Ltd (SA) (Flex Div Adj Future Cash),0AM,IFLO|0AM
IFEU,0AP-Antofagasta plc (Flex Div Adj Future Cash),0AP,IFLO|0AP
IFEU,0AQ-Thales SA (Flex Div Adj Future Cash),0AQ,IFLO|0AQ
IFEU,0AR-Abertis Infraestructuras SA (Flex Div Adj Future Cash),0AR,IFLO|0AR
IFEU,0AT-Cobham (Flex Div Adj Future Cash),0AT,IFLO|0AT
IFEU,0AU-Anadolu Efes Biracilik Ve Malt Sanayii AS (Flex Div Adj Future Cash),0AU,IFLO|0AU
IFEU,0AV-Aviva plc (Flex Div Adj Future Cash),0AV,IFLO|0AV
IFEU,0AW-Michelin (Flex Div Adj Future Cash),0AW,IFLO|0AW
IFEU,0AZ-Assa Abloy AB (Flex Div Adj Future Cash),0AZ,IFLO|0AZ
IFEU,0B0-Husqvarna AB (Flex Div Adj Future Cash),0B0,IFLO|0B0
IFEU,0B1-UBS Group AG (Flex Div Adj Future Cash),0B1,IFLO|0B1
IFEU,0B2-Swatch Group AG (Bearer Shs) (Flex Div Adj Future Cash),0B2,IFLO|0B2
IFEU,0B3-Zurich Insurance Group AG (Flex Div Adj Future Cash),0B3,IFLO|0B3
IFEU,0B4-Alimentation Couche-Tard Inc (Flex Div Adj Future Cash),0B4,IFLO|0B4
IFEU,0B5-ARC Resources Ltd (Flex Div Adj Future Cash),0B5,IFLO|0B5
IFEU,0B6-Toronto-Dominion Bank/The (Flex Div Adj Future Cash),0B6,IFLO|0B6
IFEU,0B7-Teck Resources Ltd (Flex Div Adj Future Cash),0B7,IFLO|0B7
IFEU,0B8-Thomson Reuters Corp (Flex Div Adj Future Cash),0B8,IFLO|0B8
IFEU,0B9-Bombardier Inc (Flex Div Adj Future Cash),0B9,IFLO|0B9
IFEU,0BB-Bpost SA (Flex Div Adj Future Cash),0BB,IFLO|0BB
IFEU,0BE-Banco Bilbao Vizcaya Argent (Flex Div Adj Future Cash),0BE,IFLO|0BE
IFEU,0BF-Banco Comercial Portugues (Flex Div Adj Future Cash),0BF,IFLO|0BF
IFEU,0BI-BIM Birlesik Magazalar AS (Flex Div Adj Future Cash),0BI,IFLO|0BI
IFEU,0BL-Proximus SA (Flex Div Adj Future Cash),0BL,IFLO|0BL
IFEU,0BM-Bayerische Motoren Werke AG (Flex Div Adj Future Cash),0BM,IFLO|0BM
IFEU,0BN-Erste Bank der Oesterr Spks (Flex Div Adj Future Cash),0BN,IFLO|0BN
IFEU,0BQ-Schindler Holding AG (Flex Div Adj Future Cash),0BQ,IFLO|0BQ
IFEU,0BU-Swiss Re AG (Flex Div Adj Future Cash),0BU,IFLO|0BU
IFEU,0BV-Swiss Life Holding (Flex Div Adj Future Cash),0BV,IFLO|0BV
IFEU,0BX-Swisscom AG (Flex Div Adj Future Cash),0BX,IFLO|0BX
IFEU,0BZ-Bank Zachodni WBK SA (Flex Div Adj Future Cash),0BZ,IFLO|0BZ
IFEU,0C0-Lundin Petroleum AB (Flex Div Adj Future Cash),0C0,IFLO|0C0
IFEU,0C1-BCE Inc (Flex Div Adj Future Cash),0C1,IFLO|0C1
IFEU,0C2-Bank of Montreal (Flex Div Adj Future Cash),0C2,IFLO|0C2
IFEU,0C3-Brookfield Asset Management Inc (Flex Div Adj Future Cash),0C3,IFLO|0C3
IFEU,0C4-Bank of Nova Scotia (Flex Div Adj Future Cash),0C4,IFLO|0C4
IFEU,0C5-Canadian Utilities Ltd (Flex Div Adj Future Cash),0C5,IFLO|0C5
IFEU,0C6-Gildan Activewear Inc (Flex Div Adj Future Cash),0C6,IFLO|0C6
IFEU,0C7-Turquoise Hill Resources Ltd (Flex Div Adj Future Cash),0C7,IFLO|0C7
IFEU,0C8-Saputo Inc (Flex Div Adj Future Cash),0C8,IFLO|0C8
IFEU,0C9-Cameco Corp (Flex Div Adj Future Cash),0C9,IFLO|0C9
IFEU,0CA-Carlsberg A/S B (Flex Div Adj Future Cash),0CA,IFLO|0CA
IFEU,0CB-Commerzbank AG (Flex Div Adj Future Cash),0CB,IFLO|0CB
IFEU,0CF-CRH PLC (Flex Div Adj Future Cash),0CF,IFLO|0CF
IFEU,0CH-Coloplast A/S (Flex Div Adj Future Cash),0CH,IFLO|0CH
IFEU,0CI-Victrex (Flex Div Adj Future Cash),0CI,IFLO|0CI
IFEU,0CO-Cochlear Ltd  (Flex Div Adj Future Cash),0CO,IFLO|0CO
IFEU,0CU-CGI Group Inc (Flex Div Adj Future Cash),0CU,IFLO|0CU
IFEU,0CY-CNP Assurances (Flex Div Adj Future Cash),0CY,IFLO|0CY
IFEU,0CZ-CI Financial Corp (Flex Div Adj Future Cash),0CZ,IFLO|0CZ
IFEU,0D0-Ackermans & Van Haaren (Flex Div Adj Future Cash),0D0,IFLO|0D0
IFEU,0D1-Canadian Imperial Bank of Commerce (Flex Div Adj Future Cash),0D1,IFLO|0D1
IFEU,0D2-Canadian Natural Resources Ltd (Flex Div Adj Future Cash),0D2,IFLO|0D2
IFEU,0D3-Tourmaline Oil Corp (Flex Div Adj Future Cash),0D3,IFLO|0D3
IFEU,0D4-TransCanada Corp (Flex Div Adj Future Cash),0D4,IFLO|0D4
IFEU,0D5-TELUS Corp (Flex Div Adj Future Cash),0D5,IFLO|0D5
IFEU,0D6-George Weston Ltd (Flex Div Adj Future Cash),0D6,IFLO|0D6
IFEU,0D7-Enbridge Inc (Flex Div Adj Future Cash),0D7,IFLO|0D7
IFEU,0D8-Canadian National Railway Co (Flex Div Adj Future Cash),0D8,IFLO|0D8
IFEU,0D9-Crescent Point Energy Corp (Flex Div Adj Future Cash),0D9,IFLO|0D9
IFEU,0DA-Danske Bank A/S (Flex Div Adj Future Cash),0DA,IFLO|0DA
IFEU,0DB-Deutsche Bank AG (Flex Div Adj Future Cash),0DB,IFLO|0DB
IFEU,0DF-DNB NOR ASA (Flex Div Adj Future Cash),0DF,IFLO|0DF
IFEU,0DG-Energias de Portugal SA (Flex Div Adj Future Cash),0DG,IFLO|0DG
IFEU,0DI-Kingspan Group Plc (Flex Div Adj Future Cash),0DI,IFLO|0DI
IFEU,0DL-Delta Air Lines Inc (Flex Div Adj Future Cash),0DL,IFLO|0DL
IFEU,0DP-Deutsche Post AG (Flex Div Adj Future Cash),0DP,IFLO|0DP
IFEU,0DS-Canadian Tire Corp Ltd (Flex Div Adj Future Cash),0DS,IFLO|0DS
IFEU,0DU-Cenovus Energy Inc (Flex Div Adj Future Cash),0DU,IFLO|0DU
IFEU,0DX-Dollarama Inc (Flex Div Adj Future Cash),0DX,IFLO|0DX
IFEU,0EA-TDC A/S (Flex Div Adj Future Cash),0EA,IFLO|0EA
IFEU,0EC-Novozymes A/S (Flex Div Adj Future Cash),0EC,IFLO|0EC
IFEU,0ED-Consolidated Edison Inc (Flex Div Adj Future Cash),0ED,IFLO|0ED
IFEU,0EF-Oesterreichische Post AG (Flex Div Adj Future Cash),0EF,IFLO|0EF
IFEU,0EG-Emlak Konut Gayrimenkul Yatirim Ortakligi AS (Flex Div Adj Future Cash),0EG,IFLO|0EG
IFEU,0EH-Exor NV (Flex Div Adj Future Cash),0EH,IFLO|0EH
IFEU,0EI-E.ON SE (Flex Div Adj Future Cash),0EI,IFLO|0EI
IFEU,0EL-Elisa Oyj (Flex Div Adj Future Cash),0EL,IFLO|0EL
IFEU,0EM-Arkema (Flex Div Adj Future Cash),0EM,IFLO|0EM
IFEU,0EN-Pandora A/S (Flex Div Adj Future Cash),0EN,IFLO|0EN
IFEU,0ER-Eregli Demir ve Celik Fabrikalari TAS (Flex Div Adj Future Cash),0ER,IFLO|0ER
IFEU,0ET-Nokia OYJ (Flex Div Adj Future Cash),0ET,IFLO|0ET
IFEU,0EU-Eurazeo SE (Flex Div Adj Future Cash),0EU,IFLO|0EU
